Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:0.000000, 218/517 ...errors:2549779.000000, BEP:0.501996, transmissions:0 - took 3.325204 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:12.000000, 149/517 ...errors:136756.000000, BEP:0.946580, transmissions:0 - took 3.085171 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:6.000000, 75/517 ...errors:1265051.000000, BEP:0.505839, transmissions:0 - took 2.270731 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:7.500000, 109/517 ...errors:748961.000000, BEP:0.707437, transmissions:0 - took 2.094997 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:15.000000, 279/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.611598 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:1.000000, 189/517 ...errors:2552963.000000, BEP:0.501374, transmissions:0 - took 3.973041 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:7.000000, 108/517 ...errors:1112666.000000, BEP:0.565365, transmissions:0 - took 2.027812 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:5.500000, 74/517 ...errors:1266532.000000, BEP:0.505261, transmissions:0 - took 2.186697 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:0.000000, 249/517 ...errors:2560564.000000, BEP:0.499890, transmissions:0 - took 4.365240 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:11.500000, 148/517 ...errors:601518.000000, BEP:0.765032, transmissions:0 - took 3.006559 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:15.000000, 310/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.041520 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:15.000000, 217/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.934063 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:6.500000, 107/517 ...errors:1217332.000000, BEP:0.524480, transmissions:0 - took 2.059523 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:5.000000, 73/517 ...errors:1271094.000000, BEP:0.503479, transmissions:0 - took 2.197492 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:14.500000, 278/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.423518 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:0.500000, 188/517 ...errors:2554226.000000, BEP:0.501128, transmissions:0 - took 3.932797 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:11.000000, 147/517 ...errors:1045206.000000, BEP:0.591716, transmissions:0 - took 3.018548 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:15.000000, 248/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.174280 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:6.000000, 106/517 ...errors:1247695.000000, BEP:0.512619, transmissions:0 - took 2.021757 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:4.500000, 72/517 ...errors:1274186.000000, BEP:0.502271, transmissions:0 - took 2.168915 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:14.500000, 309/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.051330 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:14.500000, 216/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.935256 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:5.500000, 105/517 ...errors:1259326.000000, BEP:0.508076, transmissions:0 - took 2.024584 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:4.000000, 71/517 ...errors:1274284.000000, BEP:0.502233, transmissions:0 - took 2.163886 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:10.500000, 146/517 ...errors:1196559.000000, BEP:0.532594, transmissions:0 - took 2.988689 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:14.500000, 247/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.158241 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:0.000000, 187/517 ...errors:2554875.000000, BEP:0.501001, transmissions:0 - took 3.888267 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:14.000000, 277/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.392368 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:5.000000, 104/517 ...errors:1265100.000000, BEP:0.505820, transmissions:0 - took 2.018301 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:3.500000, 70/517 ...errors:1275725.000000, BEP:0.501670, transmissions:0 - took 2.180991 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:14.000000, 308/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.035000 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:14.000000, 215/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.894622 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:10.000000, 145/517 ...errors:1237776.000000, BEP:0.516494, transmissions:0 - took 2.990426 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:14.000000, 246/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.164937 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:4.500000, 103/517 ...errors:1268768.000000, BEP:0.504387, transmissions:0 - took 2.017636 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:3.000000, 69/517 ...errors:1276616.000000, BEP:0.501322, transmissions:0 - took 2.180208 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:15.000000, 186/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.059329 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:13.500000, 276/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.502307 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:4.000000, 102/517 ...errors:1273343.000000, BEP:0.502600, transmissions:0 - took 2.176439 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:9.500000, 144/517 ...errors:1256159.000000, BEP:0.509313, transmissions:0 - took 3.280120 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:2.500000, 68/517 ...errors:1276655.000000, BEP:0.501307, transmissions:0 - took 2.596604 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:13.500000, 307/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.379605 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:13.500000, 245/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.533395 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:13.500000, 214/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.450661 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:3.500000, 101/517 ...errors:1274497.000000, BEP:0.502150, transmissions:0 - took 2.335477 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:14.500000, 185/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.546803 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:2.000000, 67/517 ...errors:1277140.000000, BEP:0.501117, transmissions:0 - took 2.742734 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:9.000000, 143/517 ...errors:1261265.000000, BEP:0.507318, transmissions:0 - took 3.635861 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:13.000000, 275/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 5.007082 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:3.000000, 100/517 ...errors:1274950.000000, BEP:0.501973, transmissions:0 - took 2.383902 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:13.000000, 244/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.850959 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:13.000000, 306/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.800927 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:13.000000, 213/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.956937 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:1.500000, 66/517 ...errors:1278665.000000, BEP:0.500521, transmissions:0 - took 2.765077 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:2.500000, 99/517 ...errors:1276454.000000, BEP:0.501385, transmissions:0 - took 2.364285 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:8.500000, 142/517 ...errors:1268749.000000, BEP:0.504395, transmissions:0 - took 3.663593 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:14.000000, 184/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 4.628273 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:15.000000, 62/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.057352 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:12.500000, 243/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.960845 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:15.000000, 93/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.749498 mins
